"Id","MSSubClass","MSZoning","LotFrontage","LotArea","LotShape","LandContour","Neighborhood","BldgType","HouseStyle","OverallQual","Exterior1st","Exterior2nd","MasVnrType","MasVnrArea","ExterQual","Foundation","BsmtQual","BsmtExposure","BsmtFinType1","BsmtFinSF1","TotalBsmtSF","HeatingQC","Electrical","X1stFlrSF","X2ndFlrSF","GrLivArea","FullBath","BedroomAbvGr","KitchenQual","TotRmsAbvGrd","Fireplaces","GarageType","GarageFinish","GarageCars","GarageArea","PavedDrive","SaleType","SalePrice","YrDiffSoldBuilt","YrDiffRemodBlt","YrDiffSoldRemod","X2ndFlrYN","TotalBath","HalfBathYN","YrDiffGarageBlt","FrontAreaSF"
1,60,"RL",65,8450,"Reg","Lvl","D","A","C","7","D","C","BrkFace",196,"Gd","A","Gd","No","A",706,856,"Excellent","A",856,854,1710,2,3,"Gd","8","No","Attchd","RFn",2,"548","Paved","B",208500,5,0,5,"Yes",3.5,"Yes",0,61
2,20,"RL",80,9600,"Reg","Lvl","E","A","B","6","B","B","None",0,"TA","B","Gd","Gd","B",978,1262,"Excellent","A",1262,0,1262,2,3,"TA","6","Yes","Attchd","RFn",2,"460","Paved","B",181500,31,0,31,"No",2.5,"No",0,298
3,60,"RL",68,11250,"IR1","Lvl","D","A","C","7","D","C","BrkFace",162,"Gd","A","Gd","Mn","A",486,920,"Excellent","A",920,866,1786,2,3,"Gd","6","Yes","Attchd","RFn",2,"608","Paved","B",223500,7,1,6,"Yes",3.5,"Yes",0,42
4,70,"RL",60,9550,"IR1","Lvl","D","A","C","7","B","B","None",0,"TA","B","TA","No","B",216,756,"Good","A",961,756,1717,1,3,"Gd","7","Yes","Detchd","Unf",3,"642","Paved","B",140000,91,55,36,"Yes",2,"No",83,307
5,60,"RL",84,14260,"IR1","Lvl","F","A","C","8","D","C","BrkFace",350,"Gd","A","Gd","Av","A",655,1145,"Excellent","A",1145,1053,2198,2,4,"Gd","9","Yes","Attchd","RFn",3,"836","Paved","B",250000,8,0,8,"Yes",3.5,"Yes",0,276
6,50,"RL",85,14115,"IR1","Lvl","C","A","A","5","D","C","None",0,"TA","B","Gd","No","A",732,796,"Excellent","A",796,566,1362,1,1,"TA","5","No","Attchd","Unf",2,"480","Paved","B",143000,16,2,14,"Yes",2.5,"Yes",0,390
7,20,"RL",75,10084,"Reg","Lvl","E","A","B","8","D","C","Stone",186,"Gd","A","Ex","Av","A",1369,1686,"Excellent","A",1694,0,1694,2,3,"Gd","7","Yes","Attchd","RFn",2,"636","Paved","B",307000,3,1,2,"No",3,"No",0,312
8,60,"RL",80,10382,"IR1","Lvl","D","A","C","7","B","B","Stone",240,"TA","B","Gd","Mn","B",859,1107,"Excellent","A",1107,983,2090,2,3,"TA","7","Yes","Attchd","RFn",2,"484","Paved","B",200000,36,0,36,"Yes",3.5,"Yes",0,667
9,50,"RH",51,6120,"Reg","Lvl","B","A","A","7","C","B","None",0,"TA","B","TA","No","B",0,952,"Good","B",1022,752,1774,2,2,"TA","8","Yes","Detchd","Unf",2,"468","Paved","B",129900,77,19,58,"Yes",2,"No",0,295
10,190,"RL",50,7420,"Reg","Lvl","B","C","A","5","B","B","None",0,"TA","B","TA","No","A",851,991,"Excellent","A",1077,0,1077,1,2,"TA","5","Yes","Attchd","RFn",1,"205","Paved","B",118000,69,11,58,"No",2,"No",0,4
11,20,"RL",70,11200,"Reg","Lvl","C","A","B","5","B","B","None",0,"TA","B","TA","No","B",906,1040,"Excellent","A",1040,0,1040,1,3,"TA","5","No","Detchd","Unf",1,"384","Paved","B",129500,43,0,43,"No",2,"No",0,0
12,60,"RL",85,11924,"IR1","Lvl","F","A","C","9","B","B","Stone",286,"Ex","A","Ex","No","A",998,1175,"Excellent","A",1182,1142,2324,3,4,"Ex","11","Yes","BuiltIn","Fin",3,"736","Paved","C",345000,1,1,0,"Yes",4,"No",0,168
